year,phase,date,home_team,home_city,home_altitude_meters,away_team,away_city,away_altitude_meters,altitude_difference,home_goals,away_goals,score_raw,stadium
2019,Fase Final,"24 de julio de 2019, 21:30 (UTC-3)",Atlético Paranaense,Curitiba,934,Boca Juniors,Buenos Aires,25,909,0,1,0:1 (0:0),Arena da Baixada
2019,Fase Final,"31 de julio de 2019, 21:30 (UTC-3)",Boca Juniors,Buenos Aires,25,Atlético Paranaense,Curitiba,934,-909,2,0,2:0 (0:0),Estadio La Bombonera
2019,Fase Final,"23 de julio de 2019, 21:30 (UTC-3)",Godoy Cruz,Mendoza,746,Palmeiras,São Paulo,760,-14,2,2,2:2 (2:1),Estadio Malvinas Argentinas
2019,Fase Final,"30 de julio de 2019, 21:30 (UTC-3)",Palmeiras,São Paulo,760,Godoy Cruz,Mendoza,746,14,4,0,4:0 (0:0),Allianz Parque
2019,Fase Final,"25 de julio de 2019, 21:30 (UTC-3)",Grêmio,Porto Alegre,10,Libertad,Asunción,77,-67,2,0,2:0 (0:0),Arena do Grêmio
2019,Fase Final,"1 de agosto de 2019, 20:30 (UTC-4)",Libertad,Asunción,77,Grêmio,Porto Alegre,10,67,0,3,0:3 (0:3),Estadio Defensores del Chaco
2019,Fase Final,"24 de julio de 2019, 19:30 (UTC-5)",Emelec,Guayaquil,9,Flamengo,Río de Janeiro,10,-1,2,0,2:0 (1:0),Estadio Banco del Pacífico-Capwell
2019,Fase Final,"31 de julio de 2019, 21:30 (UTC-3)",Flamengo,Río de Janeiro,10,Emelec,Guayaquil,9,1,2,0,"2:0 (2:0)
(4:2 p.)",Estadio Maracaná
2019,Fase Final,"24 de julio de 2019, 19:15 (UTC-3)",Nacional,Montevideo,43,Internacional,Porto Alegre,10,33,0,1,0:1 (0:0),Estadio Gran Parque Central
2019,Fase Final,"31 de julio de 2019, 19:15 (UTC-3)",Internacional,Porto Alegre,10,Nacional,Montevideo,43,-33,2,0,2:0 (1:0),Estadio Beira-Rio
